ID,Education,Marital_Status,Recency,Age,TotalRevenue,TotalPurchases,WebEngagement,CatalogEngagement,StoreEngagement,TotalChildren,ComplaintsLastYear,WineRatio,MeatRatio,FishRatio,Income Group
1,Graduation,Single,58,66,1617,22,0.36363636363636365,0.45454545454545453,0.18181818181818182,0,0,0.39270253555967843,0.33766233766233766,0.10636982065553494,Medium
2,Graduation,Single,38,69,27,4,0.25,0.25,0.5,2,0,0.4074074074074074,0.2222222222222222,0.07407407407407407,Medium
3,Graduation,Together,26,58,776,20,0.4,0.1,0.5,0,0,0.5489690721649485,0.163659793814433,0.14304123711340205,High
4,Graduation,Together,26,39,53,6,0.3333333333333333,0.0,0.6666666666666666,1,0,0.20754716981132076,0.37735849056603776,0.18867924528301888,Low
5,PhD,Married,94,42,422,14,0.35714285714285715,0.21428571428571427,0.42857142857142855,1,0,0.4099526066350711,0.2796208530805687,0.10900473933649289,Medium
6,Master,Together,16,56,716,20,0.3,0.2,0.5,1,0,0.7262569832402235,0.13687150837988826,0.0,Medium
7,Graduation,Divorced,34,52,590,17,0.4117647058823529,0.17647058823529413,0.4117647058823529,1,0,0.3983050847457627,0.27796610169491526,0.0847457627118644,Medium
8,PhD,Married,32,38,169,8,0.5,0.0,0.5,1,0,0.44970414201183434,0.33136094674556216,0.01775147928994083,Low
9,PhD,Together,19,49,46,5,0.6,0.0,0.4,1,0,0.30434782608695654,0.5217391304347826,0.06521739130434782,Low
10,PhD,Together,68,73,49,1,1.0,0.0,0.0,2,0,0.5714285714285714,0.12244897959183673,0.02040816326530612,Low
12,Basic,Married,59,47,61,5,0.4,0.0,0.6,0,0,0.09836065573770492,0.18032786885245902,0.18032786885245902,Low
14,Master,Divorced,53,71,310,12,0.5,0.08333333333333333,0.4166666666666667,2,0,0.7516129032258064,0.17096774193548386,0.00967741935483871,Medium
15,Graduation,Married,38,36,46,4,0.25,0.0,0.75,0,0,0.06521739130434782,0.3695652173913043,0.13043478260869565,Low
16,PhD,Single,23,77,1315,25,0.28,0.24,0.48,0,0,0.7650190114068441,0.08745247148288973,0.044866920152091254,High
17,Graduation,Married,51,43,96,6,0.5,0.0,0.5,2,0,0.5520833333333334,0.19791666666666666,0.020833333333333332,Medium
18,Graduation,Together,20,77,317,11,0.36363636363636365,0.09090909090909091,0.5454545454545454,0,0,0.26498422712933756,0.11987381703470032,0.47318611987381703,Medium
19,Master,Married,91,74,1782,24,0.4583333333333333,0.16666666666666666,0.375,1,0,0.5679012345679012,0.27946127946127947,0.0,High
20,2n Cycle,Single,86,38,133,6,0.3333333333333333,0.16666666666666666,0.5,1,0,0.03007518796992481,0.14285714285714285,0.22556390977443608,Low
21,Graduation,Married,41,41,316,11,0.36363636363636365,0.18181818181818182,0.45454545454545453,0,0,0.2721518987341772,0.2310126582278481,0.21835443037974683,Medium
23,PhD,Married,63,74,972,14,0.14285714285714285,0.21428571428571427,0.6428571428571429,1,0,0.8919753086419753,0.08847736625514403,0.0,Medium
24,PhD,Married,0,69,544,17,0.35294117647058826,0.11764705882352941,0.5294117647058824,1,0,0.7058823529411765,0.1875,0.03860294117647059,Medium
25,Graduation,Together,69,72,444,13,0.5384615384615384,0.07692307692307693,0.38461538461538464,1,0,0.6081081081081081,0.060810810810810814,0.08783783783783784,Medium
26,Graduation,Single,89,54,75,6,0.3333333333333333,0.16666666666666666,0.5,0,0,0.08,0.3333333333333333,0.2,Low
27,Graduation,Married,4,47,257,10,0.5,0.1,0.4,2,0,0.6731517509727627,0.11673151750972763,0.011673151750972763,Medium
29,Graduation,Married,26,34,131,7,0.2857142857142857,0.14285714285714285,0.5714285714285714,1,0,0.2748091603053435,0.32061068702290074,0.15267175572519084,Medium
30,PhD,Married,96,58,1672,25,0.24,0.36,0.4,0,0,0.4090909090909091,0.47906698564593303,0.012559808612440191,High
31,Master,Divorced,34,34,30,6,0.5,0.0,0.5,0,0,0.26666666666666666,0.3333333333333333,0.06666666666666667,Low
32,Master,Together,56,60,318,10,0.2,0.5,0.3,0,0,0.3522012578616352,0.13836477987421383,0.1069182389937107,Medium
33,Graduation,Together,31,53,120,7,0.2857142857142857,0.14285714285714285,0.5714285714285714,1,0,0.9166666666666666,0.041666666666666664,0.016666666666666666,Medium
34,PhD,Divorced,8,71,302,11,0.36363636363636365,0.09090909090909091,0.5454545454545454,2,0,0.31788079470198677,0.31788079470198677,0.10927152317880795,Medium
35,Master,Married,4,77,1196,17,0.17647058823529413,0.29411764705882354,0.5294117647058824,0,0,0.40301003344481606,0.39381270903010035,0.09949832775919733,High
36,Master,Single,55,72,65,5,0.4,0.0,0.6,2,0,0.6153846153846154,0.2923076923076923,0.03076923076923077,Medium
37,PhD,Married,37,53,913,23,0.21739130434782608,0.2608695652173913,0.5217391304347826,1,0,0.768893756845564,0.16538882803943045,0.0,High
38,2n Cycle,Married,76,47,81,6,0.5,0.16666666666666666,0.3333333333333333,1,0,0.07407407407407407,0.1728395061728395,0.18518518518518517,Low
39,Graduation,Widow,99,50,67,5,0.2,0.2,0.6,1,0,0.8208955223880597,0.08955223880597014,0.029850746268656716,Medium
40,PhD,Divorced,53,80,902,22,0.3181818181818182,0.45454545454545453,0.22727272727272727,0,0,0.4844789356984479,0.22838137472283815,0.17738359201773837,Medium
42,Master,Married,88,38,53,5,0.4,0.0,0.6,1,0,0.24528301886792453,0.5471698113207547,0.05660377358490566,Low
43,Graduation,Together,4,66,22,3,0.0,0.0,1.0,1,0,0.4090909090909091,0.2727272727272727,0.13636363636363635,Low
45,Master,Married,19,48,31,5,0.4,0.0,0.6,1,0,0.0967741935483871,0.3225806451612903,0.0967741935483871,Low
47,2n Cycle,Married,24,27,122,7,0.42857142857142855,0.14285714285714285,0.42857142857142855,0,0,0.02459016393442623,0.11475409836065574,0.12295081967213115,Low
